component,carrier,increase_MWh_120,decrease_MWh_120,offer_cost_120,bid_cost_120,net_cost_120,increase_MWh_base,decrease_MWh_base,offer_cost_base,bid_cost_base,net_cost_base,delta_up_MWh,delta_down_MWh,delta_offer_cost,delta_bid_cost,delta_cost,gross_change_MWh
West Burton CCGT,CCGT,186021.32734249625,3942.746570745143,9591528.140689176,-73057.13725709147,9518471.003432084,198385.737035927,3827.534004745928,10235548.21919326,-70722.98646203108,10164825.232731229,-12364.40969343076,115.2125659992148,-644020.0785040837,-2334.1507950603846,-646354.2292991448,12479.622259429974
Peterhead,CCGT,2.347633198951371e-11,351612.6100385548,1.6466348503394483e-09,-6924687.047296434,-6924687.047296432,0.0,342586.30792497424,0.0,-6734234.906046777,-6734234.906046777,2.347633198951371e-11,9026.302113580576,1.6466348503394483e-09,-190452.14124965668,-190452.14124965481,9026.3021135806
Seabank,CCGT,52965.51760435208,5.906827027502004e-09,2995450.39614489,-2.3750912888404168e-08,2995450.3961448665,47126.14119889426,7.010626745795889e-09,2650062.1579674706,-2.781506097521883e-08,2650062.157967442,5839.3764054578205,-1.1037997182938852e-09,345388.23817741964,4.064148086814663e-09,345388.2381774243,5839.376405458925
Damhead Creek,CCGT,112950.00644543832,5.798241886623146e-10,6749931.096697531,-1.3863692061022451e-08,6749931.096697517,109451.34203339924,2.9170621473895153e-10,6538910.613020583,-6.37579020690282e-09,6538910.613020577,3498.6644120390847,2.88117973923363e-10,211020.48367694765,-7.48790185411963e-09,211020.4836769402,3498.664412039373
Rocksavage,CCGT,49130.765930574446,7.035438898128631e-10,2924909.978910549,-3.338945645831959e-09,2924909.9789105463,45824.53724394665,6.381526418408612e-10,2737316.521547026,-5.399756792687259e-09,2737316.5215470204,3306.2286866277936,6.539124797200192e-11,187593.45736352308,2.0608111468553e-09,187593.45736352587,3306.228686627859
Corby,CCGT,3.5194958059037157e-10,73727.21958664402,5.6311932894459467e-08,-3686360.979332201,-3686360.979332145,4.0073722118449945e-10,70568.6624968115,6.411795538951992e-08,-3528433.124840575,-3528433.1248405105,-4.878764059412788e-11,3158.5570898325095,-7.806022495060454e-09,-157927.85449162638,-157927.8544916343,3158.557089832558
Medway,CCGT,21771.884041757592,538.3662807732946,1087792.9278529205,-2055.566862776004,1085737.3609901443,19629.933948008853,540.7489692457093,976173.7513734028,-2066.3768276672217,974107.3745457357,2141.950093748739,-2.3826884724146566,111619.17647951772,10.809964891217533,111629.98644440866,2144.332782221154
Cruachan_2,Pumped Storage Hydroelectricity,4275.908123291759,45924.84401338999,496531.5863853544,36016.45564913464,532548.042034489,2767.770677866029,45326.60346585127,320254.66398046527,36231.01853023562,356485.6825107009,1508.1374454257298,598.2405475387204,176276.92240488913,-214.56288110098103,176062.3595237881,2106.37799296445
Coryton,CCGT,46240.9858431784,9.106315701501444e-11,2767816.2650107583,-4.028667886858288e-10,2767816.265010758,44230.16725988664,2.9679370072699385e-10,2638366.7672158387,-4.079302311374728e-09,2638366.7672158345,2010.8185832917588,-2.057305437119794e-10,129449.49779491965,3.676435522688899e-09,129449.49779492337,2010.8185832919646
Grain CHP*,CCGT,128895.77103231756,6485.162469583472,7254952.727897971,-64060.67436379109,7190892.05353418,130652.8375286266,6493.333715666557,7352883.525928811,-64066.64443741245,7288816.881491398,-1757.0664963090385,-8.171246083084952,-97930.79803084023,5.970073621356278,-97924.82795721851,1765.2377423921234
Cottam Development Centre,CCGT,5997.17237144327,195.14827339834216,289456.79638825846,-2731.0567836320083,286725.73960462643,4421.204883864528,210.47831857093385,216580.4977018598,-2899.6872805319194,213680.8104213279,1575.9674875787423,-15.330045172591696,72876.29868639866,168.63049689991112,73044.92918329855,1591.297532751334
Foyers_3,Pumped Storage Hydroelectricity,2412.809237895898,33845.99826614416,280454.0975766921,22587.99288523089,303042.09046192304,1686.1070255281056,33207.701870601624,195993.70662578248,20992.578800675557,216986.285426458,726.7022123677925,638.2963955425366,84460.39095090964,1595.4140845553338,86055.80503546505,1364.9986079103292
