bus,decrease_MWh,increase_MWh,net_cost,net_down_MWh,x,y
PEHE4J,342586.30792497424,0.0,-6734234.906046777,342586.30792497424,412733.4257806262,843038.0443710013
MARH4B,70568.6624968115,4.0073722118449945e-10,-3528433.1248405105,70568.6624968111,473389.8202478599,287187.87859349046
KEAP41,43861.61586200018,4713.55024167285,-15241.573419671957,39148.06562032733,482853.3288719101,411616.41570062825
BEAT4-,35852.222012914404,0.0,0.0,35852.222012914404,342739.08210220665,848569.6185376373
CRYR1-,29951.938473262584,0.0,748798.4618315629,29951.938473262584,366686.55639605917,667373.8221195232
FAUG4J,20307.138385033635,891.2408096327266,387929.5612647949,19415.897575400908,235823.53681322356,808352.4161125647
KYPE1-,16113.38636944846,0.0,-3699792.289872253,16113.38636944846,273226.38018319197,642626.1895931414
MEDB4A,15131.238417008934,0.0,378280.9604252226,15131.238417008934,413222.866111833,570382.4093672462
ABBA1-,14488.180707588926,0.0,0.0,14488.180707588926,395693.0219799275,806147.9944342354
BERW3-,13014.172058313496,0.0,325666.7328626409,13014.172058313496,395162.30483317684,653791.8762863745
SPIT1K,13008.365265018803,0.0,325209.1316254705,13008.365265018803,320444.8184101387,949884.2485406199
BRCW2K,12433.674369154436,0.0,0.0,12433.674369154436,283670.72630506946,709534.2668493561
AUCH2-,11310.309017000123,0.0,261898.97451815006,11310.309017000123,209934.75524246797,579908.3503457257
DAAS3-,8528.056252541257,0.0,213201.4063135312,8528.056252541257,315103.07708012825,852748.5849279308
WISH4-,7730.555776184893,0.0,193263.8944046224,7730.555776184893,279076.32558083173,653998.4440598642
BLHI4-,7540.005703299103,0.0,1497.6754071874686,7540.005703299103,345819.88531278336,844795.4582821309
INDQ41,7120.399812552354,0.0,-1603692.047782105,7120.399812552354,193924.86947411828,59025.99486805644
FETT2P,6858.957830252227,0.0,171473.94575630574,6858.957830252227,378976.519453751,785989.5733791006
FWIL1Q,7247.861857791135,799.9434104175224,81584.41644687917,6447.918447373612,212467.1526840001,773976.0313437601
CORI1J,6429.722899541724,0.0,152961.12414822314,6429.722899541724,234354.11661059136,867132.2412994268
ORRI3-,7232.131585418358,889.4681338585036,150195.9441104693,6342.663451559854,243553.49821102398,854532.245604618
WESE1-,6260.295298946645,0.0,156507.38247366616,6260.295298946645,371342.5114211945,670262.9701960557
DENN4-,5770.533264100711,0.0,144263.3316025179,5770.533264100711,285071.1963047299,683185.24754535
CAAD1R,5748.196013367027,0.0,143704.90033417597,5748.196013367027,179402.35253153546,638527.5964031415
GALA1-,5542.38483801803,0.0,138559.62095045092,5542.38483801803,351809.7477889865,635179.7915158608
PEHG3-,5440.162733229015,0.0,0.0,5440.162733229015,413035.68498531723,846062.1336357913
LAIR1-,5210.17675645841,0.0,126375.62952698804,5210.17675645841,258578.85480153473,904615.0726541714
TORN1-,4527.255060651874,0.0,113181.37651629603,4527.255060651874,374586.48544532794,675075.6902436218
NNGO41,4422.58017918636,0.0,110564.50447965947,4422.58017918636,366399.3204343926,669532.7293171326
ELGI1L,4366.779168131615,0.0,109169.4792032905,4366.779168131615,321509.34530317236,864369.5845111359
SPEN42,4036.028462166252,0.0,100900.7115541562,4036.028462166252,428812.11064169125,534514.180162455
QUER4A,3766.347688919725,1.2608580846062978e-11,-13358.951604505335,3766.3476889197123,374691.26511473116,424786.4305864561
FIDD3-,3587.0566134214123,0.0,0.0,3587.0566134214123,382322.87512352795,781119.2363161682
ELVA4-,3554.135956133021,4.899334271613043e-09,88853.39895231398,3554.1359561281215,295174.5145133196,617278.3009872923
SAEN21,3471.341743484655,114.79681781728186,-96200.85586370688,3356.5449256673733,516150.8226150568,428000.4736059798
KAIM3B,3208.3954951137143,0.0,80209.88737784298,3208.3954951137143,327334.4021207099,666988.9116764779
ALYT2B,3041.953179746365,0.0,76048.82949365908,3041.953179746365,324608.0940315301,748533.5418086326
BEAU4-,4344.739942358864,1564.9333808315318,99970.36875337086,2779.806561527332,250766.25113590952,844663.8219369339
ENHI1-,2381.695475037,0.0,59542.38687592498,2381.695475037,266259.95056978194,614065.3774720029
COCK4Q,2167.269035014056,3.205968823749572e-11,80754.19347682942,2167.2690350140238,339736.3256757838,675269.2781755353
WHLL3-,2030.640084941628,0.0,50766.00212354062,2030.640084941628,222599.9464493448,652600.3726407116
DRCR1R,2020.690228519228,0.0,50517.25571298073,2020.690228519228,300845.69991178275,669291.7558316492
WFIB2-,1968.371944532848,0.0,49209.29861332122,1968.371944532848,293787.8707405419,672241.1965325843
BAGA1R,1893.836235521452,0.0,47345.9058880363,1893.836235521452,295435.800103107,668745.3564919492
KINA2K,1862.0699743486252,0.0,44344.629658129554,1862.0699743486252,279343.2720357009,758117.296274673
INVE1J,1768.683457717148,0.0,36315.275724508,1768.683457717148,209605.89162767745,708449.6912931232
KILO1-,1990.663957775846,235.01117703319605,21703.878640539035,1755.65278074265,218643.07599825127,761995.9834825831
SAKN1-,1754.864808355029,0.0,43871.62020887572,1754.864808355029,292567.7158676779,697181.7228640645
