carrier,wholesale_mwh,physical_mwh,bm_increase_mwh,bm_decrease_mwh,bess_mw,scenario
CCGT,8717743.207060874,9034173.044542454,806431.0120999689,490001.1746183874,0,Validation_Jan2020_UniformNetworkBaseline
EU_import,1829745.0000000007,1829745.0000000007,29286.000000001342,29286.000000001342,0,Validation_Jan2020_UniformNetworkBaseline
OCGT,64560.96912845254,62068.98517860769,3.7992364809724677e-10,2491.9839498452234,0,Validation_Jan2020_UniformNetworkBaseline
advanced_biofuel,39852.36,39852.36,0.0,0.0,0,Validation_Jan2020_UniformNetworkBaseline
biogas,15202.619999999999,15202.619999999999,0.0,0.0,0,Validation_Jan2020_UniformNetworkBaseline
biomass,1666076.9207999997,1666076.9207999997,0.0,0.0,0,Validation_Jan2020_UniformNetworkBaseline
coal,0.0,130909.72379800548,130909.72379800548,0.0,0,Validation_Jan2020_UniformNetworkBaseline
embedded_solar,112733.03297059766,112678.93753374755,0.0,54.09543685012205,0,Validation_Jan2020_UniformNetworkBaseline
embedded_wind,1961619.8343297502,1959885.6877244178,0.0,1734.1466053325041,0,Validation_Jan2020_UniformNetworkBaseline
landfill_gas,69346.35560451777,69346.35560451777,0.0,2.380873276308648e-13,0,Validation_Jan2020_UniformNetworkBaseline
large_hydro,162607.1832944143,137204.19563501017,6806.973880138888,32209.961539543052,0,Validation_Jan2020_UniformNetworkBaseline
load_shedding,0.0,0.0,0.0,0.0,0,Validation_Jan2020_UniformNetworkBaseline
nuclear,4971796.309932882,4971796.309932882,8.239453563874122e-11,7.122480383259244e-11,0,Validation_Jan2020_UniformNetworkBaseline
oil,0.0,389.67191950090984,389.67191950090984,0.0,0,Validation_Jan2020_UniformNetworkBaseline
sewage_gas,5594.79,5594.79,0.0,0.0,0,Validation_Jan2020_UniformNetworkBaseline
shoreline_wave,7432.614196355656,0.0,0.0,7432.614196355656,0,Validation_Jan2020_UniformNetworkBaseline
small_hydro,56950.73397852503,42948.22752578034,0.0,14002.506452744687,0,Validation_Jan2020_UniformNetworkBaseline
solar_pv,216498.4235184256,216498.4235184256,0.0,0.0,0,Validation_Jan2020_UniformNetworkBaseline
tidal_stream,1794.8104762765497,388.7095357633772,0.0,1406.1009405131726,0,Validation_Jan2020_UniformNetworkBaseline
waste_to_energy,752407.2,753853.4455061563,1446.245506156274,0.0,0,Validation_Jan2020_UniformNetworkBaseline
wind_offshore,3113808.658270047,3093880.3148292294,2.501749918337737e-10,19928.343440817942,0,Validation_Jan2020_UniformNetworkBaseline
wind_onshore,3942278.9668761874,3639856.968167086,1.6349261500181456e-08,302421.99870911764,0,Validation_Jan2020_UniformNetworkBaseline
CCGT,8717769.948678475,9030894.980218407,817297.8476359037,504172.8160959709,50,Research_Jan2020_BEAT4_BESS50
EU_import,1829745.0000000007,1829745.0000000007,29286.000000001342,29286.000000001342,50,Research_Jan2020_BEAT4_BESS50
OCGT,64560.96912845283,61994.48406702741,4.3520564929622196e-10,2566.4850614258476,50,Research_Jan2020_BEAT4_BESS50
advanced_biofuel,39852.36,39852.36,0.0,0.0,50,Research_Jan2020_BEAT4_BESS50
biogas,15202.619999999999,15202.619999999999,0.0,0.0,50,Research_Jan2020_BEAT4_BESS50
biomass,1666076.9207999997,1666076.9207999997,0.0,0.0,50,Research_Jan2020_BEAT4_BESS50
coal,0.0,131650.81526156355,131650.81526156355,0.0,50,Research_Jan2020_BEAT4_BESS50
embedded_solar,112733.03297059766,112677.76267256109,0.0,55.27029803657205,50,Research_Jan2020_BEAT4_BESS50
embedded_wind,1961619.8343297502,1959880.5466206942,0.0,1739.2877090560542,50,Research_Jan2020_BEAT4_BESS50
landfill_gas,69346.35560451636,69346.35560451636,2.401967513776526e-13,1.990907438909062e-13,50,Research_Jan2020_BEAT4_BESS50
large_hydro,162607.18329441434,137524.0538660557,7180.497720912537,32263.627149271146,50,Research_Jan2020_BEAT4_BESS50
load_shedding,0.0,0.0,0.0,0.0,50,Research_Jan2020_BEAT4_BESS50
nuclear,4971796.309932882,4971796.309932882,1.1317524695186876e-10,5.275069270282984e-11,50,Research_Jan2020_BEAT4_BESS50
oil,0.0,225.97951344293034,225.97951344293034,0.0,50,Research_Jan2020_BEAT4_BESS50
sewage_gas,5594.79,5594.79,0.0,0.0,50,Research_Jan2020_BEAT4_BESS50
shoreline_wave,7432.614196355656,0.0,0.0,7432.614196355656,50,Research_Jan2020_BEAT4_BESS50
small_hydro,56950.73397852503,42850.42811867418,0.0,14100.305859850854,50,Research_Jan2020_BEAT4_BESS50
solar_pv,216498.4235184256,216498.4235184256,0.0,0.0,50,Research_Jan2020_BEAT4_BESS50
tidal_stream,1794.8104762765497,388.6393699680639,0.0,1406.1711063084858,50,Research_Jan2020_BEAT4_BESS50
waste_to_energy,752407.2,753839.4409397545,1432.2409397545557,0.0,50,Research_Jan2020_BEAT4_BESS50
wind_offshore,3113808.658270047,3093812.6467381082,0.0,19996.01153193869,50,Research_Jan2020_BEAT4_BESS50
wind_onshore,3942278.9668761874,3641664.373997314,1.5868735658841615e-08,300614.59287888964,50,Research_Jan2020_BEAT4_BESS50
CCGT,8717780.673174882,9030972.78872406,816737.4252432528,503545.30969407473,70,Research_Jan2020_BEAT4_BESS70
EU_import,1829745.0000000007,1829745.0000000007,29286.000000001342,29286.000000001342,70,Research_Jan2020_BEAT4_BESS70
OCGT,64560.96912845272,61994.484067026846,4.531646169425585e-10,2566.485061426328,70,Research_Jan2020_BEAT4_BESS70
advanced_biofuel,39852.36,39852.36,0.0,0.0,70,Research_Jan2020_BEAT4_BESS70
biogas,15202.619999999999,15202.619999999999,0.0,0.0,70,Research_Jan2020_BEAT4_BESS70
biomass,1666076.9207999997,1666076.9207999997,0.0,0.0,70,Research_Jan2020_BEAT4_BESS70
coal,0.0,131212.37643009055,131212.37643009055,0.0,70,Research_Jan2020_BEAT4_BESS70
embedded_solar,112733.03297059766,112677.76267256109,0.0,55.27029803657205,70,Research_Jan2020_BEAT4_BESS70
embedded_wind,1961619.8343297502,1959882.9530291958,0.0,1736.8813005544941,70,Research_Jan2020_BEAT4_BESS70
landfill_gas,69346.35560451636,69346.35560451636,2.401967513776526e-13,1.990907438909062e-13,70,Research_Jan2020_BEAT4_BESS70
large_hydro,162607.18329441434,137630.86412070045,7258.378773311931,32234.697947025812,70,Research_Jan2020_BEAT4_BESS70
load_shedding,0.0,0.0,0.0,0.0,70,Research_Jan2020_BEAT4_BESS70
nuclear,4971796.309932882,4971796.309932882,1.8604850993142463e-10,5.275069270282984e-11,70,Research_Jan2020_BEAT4_BESS70
oil,0.0,225.9795134413951,225.9795134413951,0.0,70,Research_Jan2020_BEAT4_BESS70
sewage_gas,5594.79,5594.79,0.0,0.0,70,Research_Jan2020_BEAT4_BESS70
shoreline_wave,7432.614196355656,0.0,0.0,7432.614196355656,70,Research_Jan2020_BEAT4_BESS70
small_hydro,56950.73397852503,42826.00621223751,0.0,14124.72776628752,70,Research_Jan2020_BEAT4_BESS70
solar_pv,216498.4235184256,216498.4235184256,0.0,0.0,70,Research_Jan2020_BEAT4_BESS70
tidal_stream,1794.8104762765497,388.6393699680639,0.0,1406.1711063084858,70,Research_Jan2020_BEAT4_BESS70
waste_to_energy,752407.2,753853.0039625627,1445.803962562685,0.0,70,Research_Jan2020_BEAT4_BESS70
wind_offshore,3113808.658270047,3093840.315317583,1.2801137927453965e-10,19968.34295246402,70,Research_Jan2020_BEAT4_BESS70
wind_onshore,3942278.9668761874,3642137.8592344937,1.730322551907193e-08,300141.1076417113,70,Research_Jan2020_BEAT4_BESS70
CCGT,8717796.882959072,9030741.338059675,817720.1065685455,504775.65146794054,100,Research_Jan2020_BEAT4_BESS100
EU_import,1829745.0000000007,1829745.0000000007,29286.000000001342,29286.000000001342,100,Research_Jan2020_BEAT4_BESS100
OCGT,64560.96912845287,61994.48406702741,4.389590912978747e-10,2566.4850614258867,100,Research_Jan2020_BEAT4_BESS100
advanced_biofuel,39852.36,39852.36,0.0,0.0,100,Research_Jan2020_BEAT4_BESS100
biogas,15202.619999999999,15202.619999999999,0.0,0.0,100,Research_Jan2020_BEAT4_BESS100
biomass,1666076.9207999997,1666076.9207999997,0.0,0.0,100,Research_Jan2020_BEAT4_BESS100
