settlementDate,settlementPeriod,expected_periods_that_day,year,dataset
2022-01-02,44,48,2022,FUELHH
2022-01-10,16,48,2022,FUELHH
2022-01-18,1,48,2022,FUELHH
2022-01-18,43,48,2022,FUELHH
2022-01-18,45,48,2022,FUELHH
2022-01-20,15,48,2022,FUELHH
2022-02-06,10,48,2022,FUELHH
2022-02-10,42,48,2022,FUELHH
2022-02-12,29,48,2022,FUELHH
2022-02-17,25,48,2022,FUELHH
2022-03-03,6,48,2022,FUELHH
2022-03-07,13,48,2022,FUELHH
2022-03-27,46,46,2022,FUELHH
2022-03-28,48,48,2022,FUELHH
2022-04-30,37,48,2022,FUELHH
2022-07-09,47,48,2022,FUELHH
2022-07-10,1,48,2022,FUELHH
2022-07-10,48,48,2022,FUELHH
2022-09-23,45,48,2022,FUELHH
2023-07-17,45,48,2023,FUELHH
2023-12-29,8,48,2023,FUELHH
